timestamp,pid,name,cpu_percent,memory_percent,memory_rss,status,connections
2025-08-06T22:55:20.162678,1502,mysqld,0,1.4354190272186476,173416448,sleeping,1
2025-08-06T22:55:20.228297,62247,nginx,0,0.01396836504355621,1687552,sleeping,2
2025-08-06T22:55:20.240602,62248,nginx,0,0.050109814403825434,6053888,sleeping,2
2025-08-06T22:55:20.247396,62249,nginx,0,0.05021152579977366,6066176,sleeping,2
2025-08-06T22:55:20.250740,62250,nginx,0,0.05021152579977366,6066176,sleeping,2
2025-08-06T22:55:20.257258,62251,nginx,0,0.04966906502138313,6000640,sleeping,2
2025-08-06T22:55:20.298179,76379,python3,0,1.6072773825724984,194179072,running,0
2025-08-06T23:05:44.882318,1502,mysqld,0,1.4788158894898902,178659328,sleeping,1
2025-08-06T23:05:44.934263,62247,nginx,0,0.02719084651682544,3284992,sleeping,2
2025-08-06T23:05:44.940617,62248,nginx,0,0.06123026036083135,7397376,sleeping,2
2025-08-06T23:05:44.945389,62249,nginx,0,0.061331971756779576,7409664,sleeping,2
2025-08-06T23:05:44.947771,62250,nginx,0,0.061331971756779576,7409664,sleeping,2
2025-08-06T23:05:44.950290,62251,nginx,0,0.06078951097838904,7344128,sleeping,2
2025-08-06T23:05:44.955355,77988,python3,0,1.6162279854159418,195260416,running,0
2025-08-07T00:41:01.187844,1502,mysqld,0,1.411720271962711,170553344,sleeping,1
2025-08-07T00:41:01.239824,62247,nginx,0,0.024342927430275146,2940928,sleeping,2
2025-08-07T00:41:01.246428,62248,nginx,0,0.032479839106133127,3923968,sleeping,2
2025-08-07T00:41:01.255402,62249,nginx,0,0.032479839106133127,3923968,sleeping,2
2025-08-07T00:41:01.257639,62250,nginx,0,0.032479839106133127,3923968,sleeping,2
2025-08-07T00:41:01.266040,62251,nginx,0,0.03244593530748372,3919872,sleeping,2
2025-08-07T00:41:01.290887,94419,python3,0,0.6083697629649821,73498624,sleeping,0
2025-08-07T00:41:01.301557,96705,python3,0,0.28374089089689786,34279424,sleeping,0
2025-08-07T00:41:01.308183,96706,python3,0,1.6168382537916315,195334144,running,0
2025-08-07T15:30:55.421912,1506,mysqld,0,1.5915869387074253,192282624,sleeping,1
2025-08-07T15:30:55.666753,21798,python3,0,1.6195237919260461,195657728,running,0
2025-08-07T15:55:02.942284,1506,mysqld,0,1.5004531262661005,181272576,sleeping,1
2025-08-07T15:55:03.193131,23114,python3,0,0.2676377661502304,32333824,sleeping,0
2025-08-07T15:55:03.248794,26712,python3,0,1.6168792839757398,195338240,running,0
2025-08-07T16:04:39.873452,1506,mysqld,0,1.53951047445524,185991168,sleeping,1
2025-08-07T16:04:39.896842,23114,python3,0,0.262755597626588,31744000,sleeping,0
